Route,Stop,Time Period,Avg Headway,Std Headway,Min Headway,Max Headway,Count,Bunching Rate %
250,Westbound Marine Dr @ 25 St,Morning Rush,17.933333333333334,9.33333928571239,1.4166666666666667,28.083333333333332,11,9.090909090909092
250,Westbound Marine Dr @ 26 St,Morning Rush,17.933333333333334,9.33333928571239,1.4166666666666667,28.083333333333332,11,9.090909090909092
250,Westbound Marine Dr @ 27 St,Morning Rush,17.933333333333334,9.33333928571239,1.4166666666666667,28.083333333333332,11,9.090909090909092
250,Westbound Marine Dr @ 29 St,Morning Rush,17.933333333333334,9.33333928571239,1.4166666666666667,28.083333333333332,11,9.090909090909092
319,Northbound Scott Rd @ 82 Ave,Midday,11.228787878787879,4.652998381623826,0.38333333333333336,16.4,11,9.090909090909092
250,Westbound Marine Dr @ 30 St,Morning Rush,17.933333333333334,9.33333928571239,1.4166666666666667,28.083333333333332,11,9.090909090909092
319,Northbound Scott Rd @ 80 Ave,Midday,11.19848484848485,4.71054640936139,0.13333333333333333,16.366666666666667,11,9.090909090909092
250,Westbound Marine Dr @ 31 St,Morning Rush,17.933333333333334,9.33333928571239,1.4166666666666667,28.083333333333332,11,9.090909090909092
250,Westbound Marine Dr @ 3600 Block,Morning Rush,17.927272727272726,9.3361700234663,1.4166666666666667,28.083333333333332,11,9.090909090909092
250,Westbound Marine Dr @ 3700 Block,Morning Rush,17.927272727272726,9.3361700234663,1.4166666666666667,28.083333333333332,11,9.090909090909092
250,Westbound Marine Dr @ 4200 Block,Morning Rush,17.927272727272726,9.3361700234663,1.4166666666666667,28.083333333333332,11,9.090909090909092
004,Eastbound McGill St @ N Penticton St,Morning Rush,14.986363636363636,7.908019200581627,2.2333333333333334,25.433333333333334,11,9.090909090909092
250,Westbound Marine Dr @ Cranley Dr,Morning Rush,16.113636363636363,8.653746196435579,1.4166666666666667,27.5,11,9.090909090909092
250,Westbound Marine Dr @ Creery Ave,Morning Rush,17.927272727272726,9.3361700234663,1.4166666666666667,28.083333333333332,11,9.090909090909092
250,Westbound Marine Dr @ Gables Lane,Morning Rush,17.927272727272726,9.3361700234663,1.4166666666666667,28.083333333333332,11,9.090909090909092
250,Westbound Marine Dr @ Morgan Cres,Morning Rush,17.927272727272726,9.3361700234663,1.4166666666666667,28.083333333333332,11,9.090909090909092
005,Eastbound W Pender St @ Seymour St,Midday,10.306060606060605,5.308139832827361,1.8333333333333333,19.716666666666665,11,9.090909090909092
005,Eastbound W Pender St @ Granville St,Midday,10.272727272727273,5.377588641385617,1.6666666666666667,20.116666666666667,11,9.090909090909092
005,Eastbound W Pender St @ Burrard St,Midday,10.243939393939394,5.376018108886048,1.6,20.033333333333335,11,9.090909090909092
005,Burrard Station @ Bay 7,Midday,10.32878787878788,5.260408153308442,2.3833333333333333,20.016666666666666,11,9.090909090909092
319,Northbound Scott Rd @ 7800 Block,Midday,11.313636363636364,4.3684590353389305,1.0833333333333333,16.35,11,9.090909090909092
319,Northbound Scott Rd @ 76A Ave,Midday,11.389393939393939,4.66391152436136,0.3333333333333333,16.333333333333332,11,9.090909090909092
250,Westbound Marine Dr @ Rose Cres,Morning Rush,17.927272727272726,9.3361700234663,1.4166666666666667,28.083333333333332,11,9.090909090909092
004,Northbound Granville St @ Dunsmuir St,Morning Rush,16.687878787878788,7.9647908911278975,2.466666666666667,26.55,11,9.090909090909092
250,Westbound Marine Dr @ Sherman St,Morning Rush,17.927272727272726,9.3361700234663,1.4166666666666667,28.083333333333332,11,9.090909090909092
