Route,From Stop,To Stop,Time Period,Avg Delay (min),Std Delay,Sample Count,Speed Reduction %
373,Gateway Station @ Bay 3,Eastbound 108 Ave @ King George Blvd,Midday,0.31428571428571433,0.5658023286734292,7,11.026879413356761
004,Southbound Granville St @ W Pender St,Southbound Granville St @ W Georgia St,Morning Rush,0.3141025641025641,0.25137088522205975,13,22.709319324643268
022,Southbound Knight St @ E 39 Ave,Southbound Knight St @ E 41 Ave,Midday,0.3141025641025641,0.2703603694048545,13,21.543218216017536
019,Eastbound Kingsway @ E Broadway,Eastbound Kingsway @ E 12 Ave,Midday,0.3141025641025641,0.9833532520074452,13,-2.1757545338281883
229,Southbound Lonsdale Ave @ W 5th St,Southbound Lonsdale Ave @ W 3rd St,Midday,0.31388888888888894,0.34679751803973236,6,19.185848252344414
609,Eastbound Ladner Trunk Rd @ 55B St,Southbound Harvest Dr @ Ladner Trunk Rd,Morning Rush,0.3138888888888889,0.3002622310704552,6,24.656615560894263
014,Southbound Granville St @ W Georgia St,Southbound Granville St @ Robson St,Morning Rush,0.3137254901960784,0.3793376580614287,17,2.604928569637618
310,Westbound Hwy 10 @ Anderson Place,Westbound Hwy 10 @ 66 St,Morning Rush,0.31333333333333335,1.3773924192267104,10,-26.538294498091375
211,Westbound Mt Seymour Parkway @ Seymour Blvd,Southbound Mountain Hwy @ Fern St,Midday,0.31333333333333335,0.27396269007942586,5,9.95614476330786
160,Westbound Hastings St @ Alpha Ave,Westbound Hastings St @ Willingdon Ave,Midday,0.31333333333333335,0.2664582518894846,15,38.8634149494464
410,Northbound No. 3 Rd @ Alderbridge Way,Northbound No. 3 Rd @ Leslie Rd,Morning Rush,0.31315789473684214,0.2998239682810823,19,19.53917455336416
401,Northbound No. 1 Rd @ Georgia St,Northbound No. 1 Rd @ Steveston Hwy,Morning Rush,0.31309523809523804,0.34592737809510093,14,18.61928920378642
375,Northbound 152 St @ 91 Ave,Northbound 152 St @ 92 Ave,Morning Rush,0.31296296296296294,0.6185656446894893,9,-2.2342353226683733
009,Westbound W Broadway @ Trafalgar St,Westbound W Broadway @ Macdonald St,Morning Rush,0.3127450980392157,0.35490263785007453,17,9.190506828295065
